id,timestamp,symbol,direction,strategy,entry_price,exit_price,qty,position_size_usdc,pnl_usdc,pnl_pct,duration_seconds,exit_reason,tp_pct,sl_pct,trailing_pct,confidence,regime,fear_greed,btc_change_4h,rsi_entry,atr_pct,volume_ratio,indicators_json
29,2026-03-23T10:50:14.389200,BTCUSDC,LONG,mean_reversion,68237.85,68208.24,0.00878,598.9115814045,-0.259976,-0.0434,1805,TIMEOUT,1.0,-1.0,0.1,67.11661823564754,RANGE,8,0.16,21.44,0,0,"{""rsi"": 21.44, ""bb_upper"": 68595.386614, ""bb_lower"": 68230.856386, ""bb_ma"": 68413.1215, ""price"": 68223.33}"
30,2026-03-23T11:18:09.795631,XRPUSDC,SHORT,mean_reversion,1.379,1.3778,434.3,598.9115814045,0.52116,0.087,522,SHUTDOWN,1.0,-1.0,0.1,51.599999999998886,RANGE,8,0.38,70.8,0,0,"{""rsi"": 70.8, ""bb_upper"": 1.375563, ""bb_lower"": 1.363227, ""bb_ma"": 1.369395, ""price"": 1.3786}"
1,2026-03-23T12:05:58.032089,XRPUSDC,SHORT,mean_reversion,1.3893,1.4034,426.0,591.01428345153,-6.0066,-1.0149,24,STOP_LOSS,1.0,-1.0,0.1,60.561797752808616,RANGE,8,0.54,75.28,0,0,"{""rsi"": 75.28, ""bb_upper"": 1.380323, ""bb_lower"": 1.363207, ""bb_ma"": 1.371765, ""price"": 1.3869}"
2,2026-03-23T12:06:11.192763,BTCUSDC,SHORT,mean_reversion,69297.27,70165.72,0.00853,591.01428345153,-7.407878,-1.2532,38,STOP_LOSS,1.0,-1.0,0.1,68.48779820733742,RANGE,8,0.54,79.24,0,0,"{""rsi"": 79.24, ""bb_upper"": 68823.928947, ""bb_lower"": 68007.317053, ""bb_ma"": 68415.623, ""price"": 69260.94}"
3,2026-03-23T12:09:16.684389,ETHUSDC,SHORT,mean_reversion,2133.52,2157.2,0.2785,591.01428345153,-6.59488,-1.1099,196,STOP_LOSS,1.0,-1.0,0.1,83.79137516967813,RANGE,8,0.54,86.9,0,0,"{""rsi"": 86.9, ""bb_upper"": 2072.578904, ""bb_lower"": 2021.473096, ""bb_ma"": 2047.026, ""price"": 2113.82}"
4,2026-03-23T12:46:27.056682,BTCUSDC,SHORT,mean_reversion,71038.86,70548.0,0.00832,591.01428345153,4.083955,0.691,1814,TIMEOUT,1.0,-1.0,0.1,77.35740981133813,HIGH_VOLATILITY,8,4.0,83.68,0,0,"{""rsi"": 83.68, ""bb_upper"": 70334.051117, ""bb_lower"": 67275.914883, ""bb_ma"": 68804.983, ""price"": 71011.44}"
5,2026-03-23T12:49:24.385303,ETHUSDC,SHORT,mean_reversion,2169.66,2142.95,0.2723,591.01428345153,7.273133,1.2311,1806,TIMEOUT,1.0,-1.0,0.1,92.67531750414196,HIGH_VOLATILITY,8,4.0,91.34,0,0,"{""rsi"": 91.34, ""bb_upper"": 2132.137989, ""bb_lower"": 1993.138011, ""bb_ma"": 2062.638, ""price"": 2170.48}"
6,2026-03-23T14:43:50.258059,ETHUSDC,SHORT,mean_reversion,2157.49,2172.89,0.274,591.01428345153,-4.2196,-0.7138,379,STOP_LOSS,0.7,-0.6,0.1,69.78955279969955,HIGH_VOLATILITY,8,4.29,79.89,0,0,"{""rsi"": 79.89, ""bb_upper"": 2156.488649, ""bb_lower"": 2118.389351, ""bb_ma"": 2137.439, ""price"": 2156.91}"
7,2026-03-23T14:51:45.262800,BTCUSDC,SHORT,mean_reversion,71034.28,71541.29,0.00832,591.01428345153,-4.218323,-0.7138,853,STOP_LOSS,0.7,-0.6,0.1,63.290406427220375,HIGH_VOLATILITY,8,4.29,76.65,0,0,"{""rsi"": 76.65, ""bb_upper"": 71021.886711, ""bb_lower"": 70030.409289, ""bb_ma"": 70526.148, ""price"": 71054.08}"
8,2026-03-23T14:51:58.140785,SOLUSDC,SHORT,mean_reversion,90.88,91.46,6.504,591.01428345153,-3.77232,-0.6382,206,STOP_LOSS,0.7,-0.6,0.1,61.20000000000121,HIGH_VOLATILITY,8,5.11,75.6,0,0,"{""rsi"": 75.6, ""bb_upper"": 90.786353, ""bb_lower"": 89.329647, ""bb_ma"": 90.058, ""price"": 90.89}"
